adlist.c list 	AboutActivity.java saved 
len 	weather 
sds hdr 	modules domain 
sds hdr 	weather 
sds hdr 	api xiecc 
sds hdr 	see weather 
sds hdr 	modules 
sds 	listener hiding 
hdr sds 	scroll listener 
hdr sds 	xiecc 
hdr sds 	see weather 
lib library 	modules activity 
copyright salvatore 	xiecc 
sanfilippo 	see weather 
antirez gmail 	modules setting 
dot copyright 	setting 
oran agra 	activity calendar 
copyright redis 	observable 
labs inc 	observer android 
rights 	schedulers android 
reserved redistribution 	schedulers 
use source 	functions action 
binary forms 	functions func 
without modification 	schedulers 
permitted 	schedulers android 
provided following 	annotation suppress 
conditions met 	lint 
redistributions source 	android content 
code must 	dialog android 
retain copyright 	content 
notice 	intent android 
list conditions 	net 
following disclaimer 	uri android 
redistributions binary 	build android 
form must 	bundle 
reproduce copyright 	android handler 
notice 	android message 
list conditions 	android 
following disclaimer 	support design 
documentation materials 	widget collapsing 
provided distribution 	toolbar 
neither name 	layout android 
redis 	support design 
names contributors 	widget 
may used 	coordinator layout 
endorse promote 	android 
products derived 	support design 
software without 	widget floating 
specific 	action 
prior written 	button android 
permission software 	support design 
provided copyright 	widget 
holders contributors 	navigation view 
express implied 	android support 
warranties 	design 
including limited 	widget snackbar 
implied warranties 	android support 
merchantability fitness 	content 
particular purpose 	context compat 
disclaimed shall 	android 
copyright 	support view 
owner contributors 	gravity compat 
liable direct 	android 
indirect incidental 	support widget 
special exemplary 	drawer layout 
consequential damages 	android 
including 	support widget 
limited procurement 	swipe refresh 
substitute goods 	layout 
services loss 	android support 
use data 	app action 
profits business 	bar 
interruption 	drawer toggle 
however caused 	android 
theory liability 	support app 
whether contract 	alert dialog 
strict liability 	android 
tort including 	support widget 
negligence 	linear layout 
otherwise arising 	manager 
way use 	android support 
software even 	widget recycler 
advised possibility 	view 
damage note 	android support 
sdshdr 	widget toolbar 
never used 	android 
access flags 	log android 
directly however 	view 
document layout 	menu item 
type sds 	android view 
lsb 	view 
type msb 	android view 
length used 	animation accelerate 
excluding header 	interpolator 
terminator lsb 	android view 
type unused 	animation decelerate 
bits 	interpolator 
used excluding 	android widget 
header terminator 	image view 
lsb type 	android 
unused bits 	widget progress 
used excluding 	bar 
header 	android widget 
terminator lsb 	relative layout 
type unused 	amap 
bits used 	api location 
excluding header 	map location 
terminator lsb 	amap 
type 	api location 
unused bits 	map location 
sdsalloc sdsavail 	client 
sdslen nothing 	amap api 
type total 	location map 
allocation info 	location 
low 	client option 
level functions 	amap 
exposed user 	api location 
api export 	map location 
allocator used 	listener 
sds program 	bumptech glide 
sds 	glide bumptech 
sometimes program 	glide 
sds linked 	load engine 
may use 	disk cache 
different allocators 	strategy 
may want 	xiecc see 
allocate 	weather xiecc 
free things 	see 
sds respectively 	weather activity 
free allocate 	xiecc 
sds lib 	see weather 
library copyright 	common check 
salvatore 	version 
sanfilippo antirez 	xiecc see 
gmail dot 	weather common 
copyright oran 	log 
agra copyright 	xiecc see 
redis labs 	weather common 
inc 	xiecc 
rights reserved 	see weather 
redistribution use 	component retrofit 
source binary 	singleton 
forms without 	xiecc see 
modification permitted 	weather 
provided 	modules adatper 
following conditions 	weather adapter 
met redistributions 	xiecc 
source code 	see weather 
must retain 	modules domain 
copyright notice 	setting 
list 	xiecc see 
conditions following 	weather modules 
disclaimer redistributions 	domain 
binary form 	weather xiecc 
must reproduce 	see 
copyright notice 	weather modules 
list 	domain weather 
conditions following 	api 
disclaimer documentation 	xiecc see 
materials provided 	weather modules 
distribution neither 	listener 
name redis 	hiding scroll 
names 	listener xiecc 
contributors may 	see 
used endorse 	weather modules 
promote products 	activity xiecc 
derived software 	see 
without specific 	weather modules 
prior 	setting 
written permission 	setting activity 
software provided 	calendar observable 
copyright holders 	observer 
contributors express 	android schedulers 
implied warranties 	android schedulers 
including 	functions 
limited implied 	action functions 
warranties merchantability 	func schedulers 
fitness particular 	schedulers 
purpose disclaimed 	android annotation 
shall copyright 	suppress lint 
owner 	android 
contributors liable 	content dialog 
direct indirect 	android 
incidental special 	content intent 
exemplary consequential 	android net 
damages including 	uri 
limited 	android build 
procurement substitute 	android bundle 
goods services 	android 
loss use 	handler android 
data profits 	message android 
business interruption 	support 
however 	design widget 
caused theory 	collapsing toolbar 
liability whether 	layout 
contract strict 	android support 
liability tort 	design 
including negligence 	widget coordinator 
otherwise 	layout android 
arising way 	support 
use software 	design widget 
even advised 	floating action 
possibility damage 	button 
note sdshdr 	android support 
never 	design widget 
used access 	navigation 
flags directly 	view android 
however document 	support design 
layout type 	widget 
sds lsb 	snackbar android 
type 	support 
msb length 	content context 
used excluding 	compat android 
header terminator 	support 
lsb type 	view gravity 
unused bits 	compat android 
used 	support 
excluding header 	widget drawer 
terminator lsb 	layout android 
type unused 	support 
bits used 	widget swipe 
excluding header 	refresh layout 
terminator 	android 
lsb type 	support app 
unused bits 	action 
used excluding 	bar drawer 
header terminator 	toggle android 
lsb type 	support 
unused 	app alert 
bits sdsalloc 	dialog android 
sdsavail sdslen 	support 
nothing type 	widget linear 
total allocation 	layout manager 
info low 	android 
level 	support widget 
functions exposed 	recycler view 
user api 	android 
export allocator 	support widget 
used sds 	toolbar 
program sds 	android log 
sometimes 	android view 
program sds 	menu 
linked may 	item android 
use different 	view view 
allocators may 	android 
want allocate 	view animation 
free 	accelerate interpolator 
things sds 	android 
respectively free 	view animation 
allocate flags 	decelerate interpolator 
buf len 	android 
alloc flags 	widget image 
buf 	view 
len alloc 	android widget 
flags buf 	progress bar 
len alloc 	android 
flags buf 	widget relative 
len alloc 	layout amap 
flags 	api 
buf flags 	location map 
flags newlen 	location amap 
flags inc 	api 
flags newlen 	location map 
flags newlen 	location client 
flags 	amap 
init initlen 	api location 
init len 	map 
len len 	location client 
fmt attribute 	option amap 
fmt fmt 	api 
cset 	location map 
start end 	location listener 
len sep 	bumptech 
seplen count 	glide glide 
tokens count 	bumptech glide 
len line 	load 
argc 	engine disk 
setlen argv 	cache strategy 
argc sep 	xiecc 
argv argc 	see weather 
sep seplen 	xiecc 
addlen incr 	see weather 
size 	activity xiecc 
ptr size 	see 
ptr argc 	weather common 
argv sds 	check version 
type len 	xiecc 
sds hdr 	see weather 
sds 	common log 
hdr sds 	xiecc 
hdr sds 	see weather 
hdr sds 	common xiecc 
hdr sds 	see 
hdr sds 	weather component 
hdr 	retrofit 
sds hdr 	singleton xiecc 
sds hdr 	see weather 
sds hdr 	modules 
sds hdr 	adatper weather 
sds hdr 	adapter xiecc 
sds 	see 
type len 	weather modules 
sds hdr 	domain setting 
sds hdr 	xiecc 
sds hdr 	see weather 
sds hdr 	modules domain 
sds 	weather 
type len 	xiecc see 
sds hdr 	weather 
sds hdr 	modules domain 
sds hdr 	weather api 
sds hdr 	xiecc 
sds 	see weather 
hdr sds 	modules listener 
hdr sds 	hiding 
hdr sds 	scroll listener 
hdr sds 	xiecc see 
lib library 	weather 
copyright 	modules activity 
salvatore sanfilippo 	xiecc see 
antirez gmail 	weather 
dot copyright 	modules setting 
oran agra 	setting 
copyright redis 	activity calendar 
labs 	observable observer 
inc rights 	android 
reserved redistribution 	schedulers android 
use source 	schedulers functions 
binary forms 	action 
without modification 	functions func 
permitted 	schedulers schedulers 
provided following 	android 
conditions met 	annotation suppress 
redistributions source 	lint android 
code must 	content 
retain copyright 	dialog android 
notice 	content 
list conditions 	intent android 
following disclaimer 	net uri 
redistributions binary 	android 
form must 	build android 
reproduce copyright 	bundle android 
notice 	handler 
list conditions 	android message 
following disclaimer 	android support 
documentation materials 	design 
provided distribution 	widget collapsing 
neither name 	toolbar layout 
redis 	android 
names contributors 	support design 
may used 	widget 
endorse promote 	coordinator layout 
products derived 	android support 
software without 	design 
specific 	widget floating 
prior written 	action button 
permission software 	android 
provided copyright 	support design 
holders contributors 	widget navigation 
express implied 	view 
warranties 	android support 
including limited 	design widget 
implied warranties 	snackbar 
merchantability fitness 	android support 
particular purpose 	content 
disclaimed shall 	context compat 
copyright 	android support 
owner contributors 	view 
liable direct 	gravity compat 
indirect incidental 	android support 
special exemplary 	widget 
consequential damages 	drawer layout 
including 	android support 
limited procurement 	widget 
substitute goods 	swipe refresh 
