abspath.c path 	AboutActivity.java saved 
index cached looking 	xiecc see 
everything name 	weather common 
matches skip entire 	log 
hierarchy diff 	xiecc see 
index cached codepath 	weather modules 
special cases 	domain 
conflicts way look 	setting xiecc 
ahead safe 	see 
whole directory matching 	weather modules 
undecided use 	domain weather 
matching result parent 	text 
dir defval 	simple date 
todo check patterns 	format calendar 
may conflict 	android 
ret iow know 	content context 
advance incl 	android support 
excl decision 	design 
entire directory clear 	widget snackbar 
flag without 	android support 
calling clear flags 	widget 
function call 	card view 
expensive excluded list 	android 
every entry 	support widget 
traverse index find 	recycler view 
every entry 	android 
matches according flags 	view layout 
clear mask 	inflater android 
entries number traversed 	view 
entries mask 	view android 
non zero entries 	view view 
whose flags 	android 
bits enabled traversed 	widget image 
cache pointer 	view android 
index entry prefix 	widget 
len offset 	linear layout 
path current 	android 
path prefix including 	widget text 
trailing cache 	view bumptech 
name prefix len 	glide 
top level 	glide bumptech 
path prefix len 	glide load 
zero process 	engine 
entries given prefix 	disk cache 
meet mask 	strategy xiecc 
condition directory whole 	see 
directory match 	weather xiecc 
first clear dir 	see weather 
eats whole 	common 
dir already non 	log xiecc 
directory clear 	see 
skip worktree according 	weather modules 
git dir 	domain setting 
info sparse checkout 	xiecc 
pretend narrowest 	see weather 
worktree unmerged 	modules domain 
entries widen worktree 	weather 
according sparse 	text simple 
checkout file matched 	date format 
entries skip 	calendar 
flag cleared way 	android content 
merge len 	context android 
trees returns success 	support 
failure manipulate 	design widget 
resulting index failure 	snackbar 
reflect changes 	android support 
work added unpacked 	widget card 
skip worktree 	view 
used internally sparse 	android support 
checkout loop 	widget recycler 
skip worktree existing 	view 
entries unpack 	android view 
existing index entries 	layout inflater 
sort prefix 	android 
spliced note 	view view 
merge always left 	android view 
entries index 	view 
sparse checkout loop 	android widget 
skip worktree 	image 
entries loop skip 	view android 
worktree also 	widget linear 
skip worktree apply 	layout 
sparse checkout 	android widget 
won attempt worktree 	text view 
entries marked 	bumptech 
added merged entry 	glide glide 
verify absent 	bumptech glide 
check check effectively 	load 
disabled skip 	engine disk 
worktree unconditionally real 	cache strategy 
check correct 	xiecc 
skip worktree 	see weather 
sparse checkout meant 	xiecc 
narrow checkout 	see weather 
area make sense 	common log 
narrow empty 	xiecc 
working usually mistake 	see weather 
sparse checkout 	modules domain 
rules allow users 	setting 
come merge 	xiecc see 
functions gets turned 	weather modules 
unmerged entry 	domain 
want date valid 	weather text 
skip worktree 	simple date 
cheat better check 	format 
entry truly 	calendar android 
date file may 	content 
overwritten keep 	context android 
checking needswork current 	support design 
policy allow 	widget 
submodule sync 	snackbar android 
wrt superproject index 	support widget 
needs tightened 	card 
later submodules marked 	view android 
automatically check 	support widget 
checking sha subdir 	recycler 
name going 	view android 
overwrite working files 	view layout 
currently git 	inflater 
checkout subprojects superproject 	android view 
checkout going 	view 
overwrite anything extract 	android view 
name would 	view android 
want lose anything 	widget 
existing directory 	image view 
going update submodule 	android widget 
care first 	linear 
make sure local 	layout android 
modification directory 	widget text 
name entry 	view 
subdirectory removed need 	bumptech glide 
make sure 	glide bumptech 
lose locally present 	glide 
file ignored 	load engine 
gets called index 	disk 
entry entry 	cache strategy 
dst found file 	xiecc see 
working lstat 	weather 
said fine insensitive 	xiecc see 
filesystem see 	weather common 
find insensitive match 	log 
index also 	xiecc see 
matches stat information 	weather modules 
file may 	domain 
lstat succeeded even 	setting xiecc 
though target 	see weather 
absent old entry 	modules 
different ignore 	domain weather 
lstat matches 	text 
name explicitly excluded 	simple date 
overwrite checking 	format calendar 
path foo found 	android 
foo working 	content context 
tricky modified files 	android support 
foo would 	design 
lose previous round 	widget snackbar 
may already 	android support 
decided path subdirectory 	widget 
replaced blob 	card view 
want overwrite working 	android support 
file tracked 	widget 
unless ignored index 	recycler view 
entries sparse 	android 
checkout following verify 	view layout 
absent delayed 	inflater android 
traverse trees finishes 	view 
unpack trees 	view android 
skip worktree 	view view 
computed correctly verify 	android 
absent called 	widget image 
time correct skip 	view android 
worktree verify 	widget 
absent call nothing 	linear layout 
sparse checkout 	android widget 
skip sparse checkout 	text 
see use 	view bumptech 
old directly way 	glide 
uptodate stat 	glide bumptech 
info also removes 	glide load 
update flag 	engine 
match otherwise end 	disk cache 
overwriting local 	strategy xiecc 
changes work migrate 	see 
old flags 	weather xiecc 
previously unmerged 	see weather 
entry left existence 	common 
marker read 	log xiecc 
index unmerged exist 	see 
index first 	weather modules 
situation note prevent 	domain setting 
start cases 	xiecc 
index allowed match 	see weather 
something head 	modules domain 
alt alt permitted 	weather 
match result 	text simple 
instead alt alt 	date format 
entry index 	calendar 
cache want make 	android content 
sure matches 	context android 
head alt alt 	support 
aggressive rule 	design widget 
resolve mostly trivial 	snackbar 
cases historically 	android support 
git merge 	widget card 
one file resolve 	view 
deleted deleted 	android support 
one unchanged added 	widget recycler 
identically merge 	view 
cases require index 	android view 
date avoid 	layout inflater 
files getting overwritten 	android 
conflict resolution 	view view 
files two way 	android view 
merge rule 	view 
carry forward index 	android widget 
without losing 	image 
information across fast 	view android 
forward favoring 	widget linear 
successful merge merge 	layout 
failure makes 	android widget 
sense details carry 	text view 
forward rule 	bumptech 
please see 	glide glide 
documentation git read 	bumptech glide 
txt deletion 	load 
path staged bind 	engine disk 
merge keep 	cache strategy 
index entries stage 	xiecc 
collapse stage 	see weather 
make sure stage 	xiecc 
anything one 	see weather 
way merge rule 	common log 
take stat 	xiecc 
information stage take 	see weather 
data stage 	modules domain 
unpack-trees.h opts cmd 	setting 
reset merge 	xiecc see 
update index nontrivial 	weather modules 
merge trivial 	domain 
merges verbose update 	weather text 
aggressive skip 	simple date 
unmerged initial 	format 
checkout diff index 	calendar android 
cached debug 	content 
unpack skip sparse 	context android 
checkout gently 	support design 
exiting early show 	widget 
errors dry 	snackbar android 
run prefix cache 	support widget 
bottom dir 	card 
pathspec msgs unpack 	view android 
rejects head 	support widget 
idx merge size 	recycler 
conflict entry 	view android 
unpack data dst 	view layout 
index src 	inflater 
index result options 	android view 
stages src 	view 
src src 	android view 
sets list user 	view android 
friendly error 	widget 
messages used command 	image view 
cmd either 	android widget 
merge checkout show 	linear 
errors store 	layout android 
error messages corresponding 	widget text 
error message 	view 
type use unsetenv.c 	bumptech glide 
name environ 	glide bumptech 
src dst nmln 	glide 
enln strlen 	load engine 
strlen strncmp might 	disk 
match test 	cache strategy 
safely matches skip 	xiecc see 
update-index.c allow 	weather 
allow allow replace 	xiecc see 
info force 	weather common 
verbose mark 	log 
valid mark skip 	xiecc see 
worktree mtime 	weather modules 
dir fmt path 	domain 
path path 	setting xiecc 
path path ret 	see weather 
path flag 	modules 
mark namelen pos 	domain weather 
path path 	text 
err old path 	simple date 
len option 	format calendar 
size path len 	android 
sha pos 	content context 
path pos len 	android support 
mode sha 	design 
path stage size 	widget snackbar 
len option 	android support 
flip path pos 	widget 
mode path 	card view 
nul term 	android support 
line buf getline 	widget 
ptr tab 	recycler view 
path name sha 	android 
mode stage 	view layout 
update index usage 	inflater android 
head sha 	view 
merge head sha 	view android 
ent path 	view view 
namelen stage mode 	android 
sha size 	widget image 
path namelen pos 	view android 
ret prefix 	widget 
prefix length err 	linear layout 
arg prefix 	android widget 
prefix length pos 	text 
head pathspec 	view bumptech 
old save path 	glide 
flags errors 	glide bumptech 
flag opt 	glide load 
arg unset opt 	engine 
arg unset 	disk cache 
opt arg unset 	strategy xiecc 
flip opt 	see 
arg unset arg 	weather xiecc 
mode sha 	see weather 
path endp ctx 	common 
opt unset 	log xiecc 
sha mode path 	see weather 
ctx opt 	modules 
unset nul term 	domain setting 
line ctx 	xiecc 
opt unset read 	see weather 
stdin ctx 	modules domain 
opt flags errors 	weather 
prefix ctx 	text simple 
opt flags 	date format 
errors prefix argc 	calendar 
argv prefix 	android content 
newfd entries nul 	context android 
term line 	support 
read stdin prefix 	design widget 
length preferred 	snackbar android 
index format executable 	support 
bit refresh 	widget card 
args error split 	view 
index file 	android support 
ctx getline parseopt 	widget recycler 
state options 	view 
path buf unquoted 	android view 
start vprintf 	layout inflater 
putchar end dir 	android 
recursively strbuf 	view view 
reset strbuf addf 	android view 
mtime path 	view 
mkdir die 	android widget 
errno stat die 	image view 
errno mtime 	android 
path open die 	widget linear 
errno mtime 	layout 
path unlink die 	android widget 
errno mtime 	text view 
path rmdir die 	bumptech 
errno sleep 	glide glide 
strbuf addstr mkdtemp 	bumptech glide 
die errno 	load 
xgetcwd atexit xstat 	engine disk 
mtime dir 	cache strategy 
fill stat data 	xiecc 
