adlist.c list 	abspath.c path 
contributors liable 	exercise diff 
direct 	delta patch delta 
indirect incidental 	nicolas pitre 
special exemplary 	nico fluxnic net 
consequential damages 	code free 
including limited 	software redistribute modify 
procurement substitute 	terms gnu 
goods 	general license version 
services loss 	published free 
use data 	software foundation test-dump-cache-tree.c 
profits business 	pfx pfx 
interruption however 	errs path 
caused theory 	rdwn istate another 
liability 	sha hex 
whether contract 	dump one dump 
strict liability 	one dump 
tort including 	one hashcmp dump 
negligence otherwise 	one cache 
arising way 	sub xsnprintf dump 
use 	cache cache 
software even 	read cache die 
advised possibility 	cache update 
damage isnan 	dump cache missing 
isinf commands 	either invalid 
command function 	claims valid lying 
operation 	test-dump-split-index.c pos 
different options 	data read index 
variants function 	sha hex 
called order 	sha hex sha 
implement following 	hex stage 
commands setex 	ewah bit 
psetex 	ewah bit test-dump-untracked-cache.c 
setnx flags 	ucd len 
changes behavior 	strcmp strcmp qsort 
command see 	qsort strbuf 
belove expire 	addf sha hex 
represents expire 	fputs fputs 
form 	fputs dump strbuf 
redis passed 	setlen setup 
user interpreted 	git directory read 
according specified 	cache die 
unit reply 	sha hex sha 
abort 	hex dump 
reply function 	hack avoid modifying 
reply client 	untracked cache 
operation performed 	read test-fake-ssh.c argc 
flags reply 	argv trash 
used abort 	directory buf 
reply 	child argv getenv 
used key 	die strbuf 
exists key 	addf fopen die 
exists time 	fclose run 
seconds given 	command opt first 
time given 	print parameters 
initialized 	trash directory ssh 
avoid harmness 	output evaluate 
warning key 	last parameter test-genrandom.c 
seconds milliseconds 	argc argv 
setting nothing 	count next strtoul 
non existing 	putchar simple 
resulting 	random data generator 
exceeds allowed 	used create 
size key 	reproducible test files 
exists check 	inspired posix 
type existing 	implementation example rand 
length setting 	copyright nicolas 
nothing 	pitre licensed 
resulting exceeds 	gpl version test-hashmap.c 
allowed size 	ent key 
create copy 	key key hash 
shared encoded 	key klen 
convert negative 	vlen entry method 
indexes 	key hash 
precondition end 	method rounds map 
end strlen 	buf entries 
condition nothing 	hashes argc argv 
returned start 	line map 
end handle 	icase cmd hash 
flag 	entry key 
msetnx semantic 	iter strlen strcmp 
zero nothing 	strcasecmp malloc 
least one 	hashmap entry init 
already key 	memcpy memcpy 
exists always 	strhash malloc malloc 
replicate 	snprintf alloc 
incrbyfloat command 	test entry 
order make 	strlen hash hashmap 
sure differences 	init hashmap 
precision formatting 	entry init hashmap 
create differences 	hashmap free 
replicas 	hashmap init hashmap 
aof restart 	entry init 
create key 	hashmap hashmap hash 
key exists 	hashmap free 
check type 	strcmp hashmap init 
append argument 	hashmap cmp 
always 	fgets strtok strtok 
sds append 	strlen strihash 
t zsetc 	strhash strtok strlen 
spec spec 	strcmp strhash 
level score 	memhash strihash memihash 
obj zsl 	strcmp alloc 
node 	test entry hashmap 
zsl next 	strcmp alloc 
level zsl 	test entry 
score obj 	hashmap put puts 
update rank 	free strcmp 
level zsl 	hashmap hash puts 
update 	puts hashmap 
zsl score 	next strcmp hashmap 
obj update 	entry init 
spec spec 	hashmap puts free 
zsl range 	strcmp hashmap 
zsl range 	iter init hashmap 
zsl 	iter next 
range zsl 	strcmp strcmp strintern 
range dict 	strintern strcmp 
update removed 	strcmp perf hashmap 
next zsl 	atoi atoi 
range dict 	hashmap free key 
update 	two terminated 
removed next 	test performance 
zsl start 	hashmap usage time 
end dict 	echo perfhashmap 
update removed 	method rounds test 
next zsl 	hashmap test 
score 	adding map entries 
rank zsl 	test map 
rank traversed 	lookups fill map 
min max 	sparsely specified 
spec eptr 	read stdin line 
item dest 	line print 
min 	result commands stdout 
max spec 	hash key 
spec spec 	strhash key memhash 
spec zsl 	key strihash 
range zsl 	key memihash key 
range zsl 	put key 
range 	old key key 
sptr vstr 	old iterate 
vlen vlong 	key nkey 
buf score 	size tablesize numentries 
sptr vstr 	perfhashmap method 
vlen vlong 	rounds test hashmap 
eptr 	performance init 
cstr clen 	hash map process 
vstr vlen 	commands stdin 
vlong vbuf 	line command two 
minlen cmp 	parameters ignore 
eptr sptr 	empty lines print 
eptr 	results different 
sptr eptr 	hash functions create 
sptr eptr 	entry key 
sptr range 	hashmap create entry 
score range 	key replace 
sptr score 	entry print free 
range 	replaced entry 
sptr score 	lookup entry hashmap 
spec res 	print result 
spec res 	setup key 
range range 	entry hashmap print 
sptr range 	result free 
sptr 	entry print table 
ele score 	sizes test 
sptr eptr 	strintern works test-index-version.c 
eptr ele 	argc argv 
score sptr 	hdr version memset 
scorebuf scorelen 	read ntohl 
offset 	test-line-buffer.c end command 
ele score 	arg buf 
sptr range 	line stdin buf 
deleted eptr 	arg argc 
sptr score 	argv stdin buf 
num range 	file buf 
deleted 	input filename strtoumax 
eptr sptr 	die starts 
num start 	strbuf addch buffer 
end deleted 	read binary 
num zobj 	strtouint fwrite 
length zobj 	strbuf release starts 
encoding 	buffer copy 
node next 	bytes strtouint starts 
ele score 	buffer skip 
eptr sptr 	bytes strtouint die 
vstr vlen 	strchr die 
vlong zobj 	handle command usage 
maxelelen 	buffer init 
zset zobj 	die errno buffer 
member score 	fdinit strtouint 
flags nanerr 	die errno buffer 
key ele 	init die 
zobj curobj 	errno buffer read 
curscore 	line handle 
elements scoreidx 	line buffer deinit 
added updated 	die buffer 
processed opt 	deinit die ferror 
incr eptr 	die test 
znode key 	line buffer 
zobj 	code exercise svn 
eptr score 	importer input 
rangetype key 	helper test-match-trees.c hash 
zobj keyremoved 	hash shifted 
deleted range 	one two sha 
lexrange start 	die sha 
end 	die parse indirect 
llen val 	die parse 
ell val 	indirect die shift 
val val 	sha hex 
val score 	exit test-mergesort.c text 
target val 	next argc 
aggregate 	argv line lines 
dstkey setnum 	strcmp strbuf 
aggregate src 	getwholeline xmalloc strbuf 
zval tmp 	detach llist 
maxelelen dstobj 	mergesort test-mktemp.c 
dstzset znode 	argc argv usage 
touched 	xmkstemp xstrdup 
obj remaining 	test mktemp code 
score accumulator 	exercise creation 
score ele 	temporary files test-parse-options.c 
reverse key 	integer magnitude 
zobj withscores 	timestamp abbrev quiet 
start 	file ambiguous 
end llen 	list opt arg 
rangelen eptr 	unset opt 
sptr vstr 	arg unset argc 
vlen vlong 	argv prefix 
zsl ele 	usage options strlen 
reverse 	strtol parse 
range key 	options support unset 
zobj limit 	test-path-utils.c item 
withscores rangelen 	unused ceil input 
replylen minidx 	alternative data 
maxidx remaining 	func funcname 
pos 	buffer basename data 
eptr sptr 	dirname data 
vstr vlen 	argc argv buf 
vlong score 	len ceiling 
zsl key 	dirs path prefix 
zobj range 	prefix len 
count 	nongit prefix prefix 
eptr sptr 	rel die 
score zsl 	absolute path die 
rank key 	normalize path 
zobj range 	copy die strcmp 
count eptr 	strcmp die 
sptr 	func xsnprintf func 
zsl rank 	strcmp error 
reverse range 	strcmp error strcmp 
key zobj 	xmallocz strlen 
limit rangelen 	normalize path copy 
replylen minidx 	puts strcmp 
maxidx 	puts real 
remaining pos 	path strcmp puts 
eptr sptr 	absolute path 
vstr vlen 	strcmp xstrdup normalize 
vlong zsl 	path copy 
key zobj 	die list split 
key 	filter list 
zobj score 	longest ancestor length 
reverse key 	list clear 
ele zobj 	free strcmp strlen 
llen rank 	setup git 
eptr sptr 	directory gently puts 
zsl 	prefix path 
score cursor 	strcmp strip path 
zmalloc zmalloc 	suffix strcmp 
zsl create 	puts strcmp normalize 
node decr 	argv normalize 
count zfree 	argv relative path 
zfree 	puts puts 
zsl free 	strlen strbuf 
node zfree 	release strcmp test 
random server 	function strcmp 
isnan compare 	test function list 
objects zsl 	func function 
random 	normalizes entry git 
level zsl 	ceiling directories 
create node 	path unusable reason 
compare objects 	die explanation 
equal objects 	input transform output 
zsl node 	output posix 
zsl 	type paths win 
free node 	type paths 
zsl gte 	posix type paths 
min zsl 	win type 
lte max 	paths normalize arguments 
zsl range 	windows bash 
zsl 	mangles arguments 
gte min 	look like absolute 
server zsl 	posix paths 
lte max 	colon separate lists 
zsl range 	absolute posix 
zsl lte 	paths dos paths 
max 	foo foo 
server zsl 	bar might converted 
gte min 	src msysgit 
zsl node 	foo src msysgit 
dict zsl 	foo bar 
free node 	whereas longest ancestor 
zsl 	length requires 
lex gte 	paths use forward 
min zsl 	slashes test-prio-queue.c 
lex lte 	data argc argv 
max zsl 	free strcmp 
node dict 	show prio queue 
zsl 	strcmp prio 
free node 	queue show 
zsl node 	malloc atoi prio 
dict zsl 	queue put 
free node 	test-read-cache.c argc argv 
compare objects 	cnt strtol 
equal 	read cache discard 
objects strtod 	cache test-regex.c 
isnan strtod 	argc argv pat 
isnan strtod 	str regcomp 
isnan strtod 	die regexec die 
isnan incr 	die exit 
count 	http sourceware bugzilla 
incr count 	show bug 
create sdslen 	cgi matches test-revision-walking.c 
create sdslen 	commit ctx 
zsl parse 	rev commit argv 
lex range 	argc got 
item 	revision argc argv 
zsl parse 	format commit 
lex range 	message strbuf 
item decr 	release size init 
count decr 	revisions setup 
count decr 	revisions prepare revision 
count 	walk die 
decr count 	revision print commit 
compare objects 	reset revision 
compare objects 	walk strcmp run 
lex range 	revision walk 
compare objects 	run revision walk 
lex 	test revision 
range compare 	walking test revision 
objects lex 	walking api 
range compare 	heiko voigt hvoigt 
objects lex 	hvoigt net 
range compare 	code free software 
objects 	redistribute modify 
lex range 	terms gnu general 
compare objects 	license version 
zsl lex 	published free 
gte min 	software foundation test-run-command.c 
zsl lex 	number callbacks 
lte 	err task err 
max zsl 	task result 
lex range 	err task argc 
zsl lex 	argv proc 
gte min 	jobs argv pushv 
server zsl 	strbuf addf 
lex 	strbuf addf strbuf 
lte max 	addf strcmp 
