AboutActivity.java saved 	abspath.c path 
see 	mbcset equiv 
weather modules 	classes pointer argument 
listener 	since may 
hiding scroll 	update enable enable 
listener xiecc 	include defines 
see 	local function calculate 
weather modules 	index equivalence 
activity xiecc 	isn valid 
see 	character build single 
weather modules 	matcing table 
setting setting 	equivalence idx table 
activity 	isn valid 
calendar observable 	character compare length 
observer android 	matches collation 
schedulers 	rule index check 
android schedulers 	whether enough 
functions 	space enough realloc 
action functions 	mbcset nequiv 
func schedulers 	classes use realloc 
schedulers 	since alloc 
android annotation 	libc helper function 
suppress lint 	parse bracket 
android 	exp build character 
content dialog 	represented name 
android content 	result written mbcset 
intent 	sbcset alloc 
android net 	allocated size 
uri android 	mbcset classes pointer 
build 	argument since 
android bundle 	may update enable 
android 	enable reg 
handler android 	icase upper lower 
message android 	match upper 
support 	lower cases check 
design widget 	space arrays 
collapsing toolbar 	enough realloc mbcset 
layout 	nchar classes 
android support 	use realloc since 
design widget 	alloc enable 
coordinator 	see comments enable 
layout android 	enable enable 
support 	enable enable care 
design widget 	syntax enable 
floating action 	enable match also 
button 	non matching 
android support 	list ensure 
design widget 	single characters build 
navigation 	simple bracket 
view android 	build complex bracket 
support design 	alt node 
widget 	enable enable enable 
snackbar android 	intended expressions 
support content 	like fetch number 
context 	input number 
compat android 	number field empty 
support 	like error 
view gravity 	occurred enable functions 
compat android 	binary operation 
support 	create node mark 
widget drawer 	src optional 
layout android 	subexpression called preorder 
support 	postorder free 
widget swipe 	allocated memory inside 
refresh layout 	node enable 
android 	worker function 
support app 	walking free allocated 
action bar 	memory inside 
drawer 	node children duplicate 
toggle android 	node src 
support 	node preorder visit 
app alert 	similar one 
dialog android 	implemented visitor need 
support 	infrastructure maintain 
widget linear 	two parallel trees 
layout manager 	easier duplicate 
android 	create link back 
support widget 	current parent 
recycler view 	left node right 
android 	regex.c max 
support widget 	failures extended regular 
toolbar android 	expression matching 
log 	search library 
android view 	copyright free software 
menu 	foundation inc 
item android 	file part gnu 
view view 	library contributed 
android 	isamu hasegawa isamu 
view animation 	yamato ibm 
accelerate interpolator 	gnu library free 
android 	software redistribute 
view animation 	modify terms gnu 
decelerate interpolator 	lesser general 
android 	license published free 
widget image 	software foundation 
view android 	either version license 
widget 	option later 
progress bar 	version gnu library 
android 	distributed hope 
widget relative 	useful without warranty 
layout amap 	without even 
api 	implied warranty 
location map 	merchantability fitness particular 
location amap 	purpose see 
api 	gnu lesser general 
location map 	license details 
location client 	received copy gnu 
amap 	lesser general 
api location 	license along gnu 
map location 	library write 
client 	free software foundation 
option amap 	inc franklin 
api 	street fifth floor 
location map 	boston usa 
location listener 	make sure one 
bumptech 	compiles code 
glide glide 	compiler keep clean 
bumptech glide 	size systems 
load 	limits sets dup 
engine disk 	max lower 
cache strategy 	gnu regex 
xiecc 	allows include regex 
see weather 	correctly undefs 
xiecc see 	dup max sets 
weather 	right binary 
activity xiecc 	backward compatibility regex.h 
see 	syntax options 
weather common 	nsub num regs 
check version 	start end 
xiecc 	syntax pattern length 
see weather 	buffer buffer 
common log 	buffer cstring length 
xiecc 	start range 
see weather 	regs buffer length 
common xiecc 	length start 
see 	range regs stop 
weather component 	buffer cstring 
retrofit singleton 	length start regs 
xiecc 	buffer length 
see weather 	length start 
modules 	regs stop buffer 
adatper weather 	regs num 
adapter xiecc 	regs starts ends 
see 	preg pattern 
weather modules 	cflags preg cstring 
domain setting 	nmatch pmatch 
xiecc 	eflags errcode preg 
see weather 	errbuf errbuf 
modules domain 	size preg definitions 
weather 	data structures 
xiecc see 	routines regular expression 
weather modules 	library copyright 
domain 	free software foundation 
weather api 	inc file 
xiecc 	part gnu library 
see weather 	gnu library 
modules listener 	free software 
hiding 	redistribute modify terms 
scroll listener 	gnu lesser 
xiecc see 	general license published 
weather 	free software 
modules activity 	foundation either version 
xiecc see 	license option 
weather 	later version gnu 
modules setting 	library distributed 
setting activity 	hope useful without 
calendar 	warranty without 
observable observer 	even implied warranty 
android 	merchantability fitness 
schedulers android 	particular purpose see 
schedulers functions 	gnu lesser 
action 	general license details 
functions func 	received copy 
schedulers schedulers 	gnu lesser general 
android 	license along 
annotation suppress 	gnu library 
lint android 	write free software 
content 	foundation inc 
dialog android 	franklin street fifth 
content intent 	floor boston 
android 	usa allow use 
net uri 	code following 
android 	two types integer 
build android 	type wide 
bundle android 	enough hold pointer 
handler 	ansi compilers 
android message 	ptrdiff size likely 
android support 	still size 
design 	two types microsoft 
widget collapsing 	ugh following 
toolbar layout 	bits used determine 
android 	regexp syntax 
support design 	recognize meanings chosen 
widget coordinator 	emacs syntax 
layout 	remains bits 
android support 	given alphabetical order 
design 	definitions shifted 
widget floating 	one previous bit 
action button 	thus bit 
android 	one definition need 
support design 	change bit 
widget navigation 	inside bracket expression 
view 	quotes following 
android support 	character bit operators 
design widget 	literals operators 
snackbar 	literals bit character 
android support 	classes supported 
content context 	alpha upper lower 
compat 	digit alnum 
android support 	xdigit space print 
view 	punct graph 
gravity compat 	cntrl character classes 
android support 	supported bit 
widget 	always anchors 
drawer layout 	outside bracket expressions 
android support 	course bit 
widget 	depends anchor beginning 
swipe refresh 	regular expression 
layout android 	open alternation anchor 
support 	end regular 
app action 	expression close alternation 
bar drawer 	bit could 
toggle 	combined context indep 
android support 	ops posix 
app 	draft says etc 
alert dialog 	leading positions 
android support 	undefined already implemented 
widget 	previous draft 
linear layout 	made constructs invalid 
manager android 	though haven 
support 	changed code 
widget recycler 	back bit special 
view android 	characters always 
support 	special regardless pattern 
widget toolbar 	bit special 
android log 	characters special contexts 
android 	otherwise ordinary 
view menu 	specifically intervals special 
item 	beginning open 
android view 	alternation bit cannot 
view android 	first immediately 
view 	alternation begin bit 
animation accelerate 	matches newline 
interpolator android 	doesn bit doesn 
view 	match nul 
animation decelerate 	bit nonmatching lists 
interpolator android 	match newline 
widget 	bit either defines 
image view 	interval depending 
android widget 	braces literals 
progress 	bit aren recognized 
bar android 	operators bit 
widget 	newline alternation newline 
relative layout 	bit defines 
amap api 	interval literals defines 
location 	interval bit 
map location 	defines literals defines 
amap api 	literals bit 
location 	digit matches digit 
map location 	digit back 
client amap 	reference bit alternation 
api 	alternation bit 
location map 	ending range point 
location client 	collating higher 
option 	starting range point 
amap api 	invalid ending 
location 	range point collates 
map location 	higher starting 
listener bumptech 	range point 
glide 	range ignored bit 
glide bumptech 	unmatched ordinary 
glide load 	unmatched invalid bit 
engine 	succeed soon 
disk cache 	match whole pattern 
strategy xiecc 	without backtracking 
see 	bit process gnu 
weather xiecc 	regex operators 
see weather 	gnu regex operators 
activity 	recognized bit 
xiecc see 	syntactically invalid interval 
weather 	treated ordinary 
common check 	characters example ere 
version xiecc 	treated bit 
see 	ignore matching significant 
weather common 	bit used 
log xiecc 	internally like context 
see 	indep anchors 
weather common 	difficult scan 
xiecc see 	regex backwards find 
weather 	whether special 
component retrofit 	bit cannot first 
singleton xiecc 	bre immediately 
see 	alternation begin bit 
weather modules 	sub compile 
adatper 	pattern variable defines 
weather adapter 	particular regexp 
xiecc see 	syntax use interfaces 
weather 	regexp compiled 
modules domain 	syntax used stored 
setting xiecc 	pattern buffer 
see 	changing affect already 
weather modules 	compiled regexps 
domain weather 	define combinations bits 
xiecc 	standard possibilities 
see weather 	comments delimit gets 
modules domain 	put texinfo 
weather 	file begin 
api xiecc 	syntaxes section lines 
